group,participants,total_conversions,conversion_rate,z_statistic,p_value,Lower_CI,Upper_CI
ad,540847,10346,0.019129254669065374,6.490785231895372,8.539013940378481e-11,0.004203049812127354,0.007839399960262615
psa,22429,294,0.01310802978287039,,,,
