Group,Sample Size,Conversions,Conversion Rate,95% CI Lower,95% CI Upper,Z-Statistic,P-Value
ad,23524,618,0.02627104233973814,0.024227186780399392,0.028314897899076884,6.21456850979205,5.146587613094132e-10
psa,23524,420,0.01785410644448223,0.016161914715211324,0.019546298173753137,,
